Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","10n","C_0805_2012Metric",149.997504,-121.430000,0.000000,top
"C2","10u","C_1206_3216Metric",143.475000,-109.500000,180.000000,top
"C3","10u","C_1206_3216Metric",143.475000,-106.500000,180.000000,top
"C4","10u","C_1206_3216Metric",143.475000,-103.500000,180.000000,top
"C5","4u7","C_0805_2012Metric",113.975000,-72.750000,90.000000,top
"C6","100n","C_0603_1608Metric",118.475000,-87.000000,180.000000,top
"C7","100n","C_0603_1608Metric",127.475000,-85.700000,0.000000,top
"C8","100n","C_0603_1608Metric",128.175000,-73.000000,90.000000,top
"C9","100n","C_0603_1608Metric",118.475000,-70.000000,0.000000,top
"C10","100n","C_0603_1608Metric",111.465000,-72.925000,90.000000,top
"C11","1u","C_0603_1608Metric",111.850000,-83.500000,-90.000000,top
"C12","10n","C_0603_1608Metric",113.725000,-83.500000,-90.000000,top
"C13","2u2","C_0603_1608Metric",127.475000,-87.500000,0.000000,top
"C14","2u2","C_0603_1608Metric",129.975000,-73.000000,90.000000,top
"C15","100n","C_0603_1608Metric",163.275000,-79.925000,-90.000000,top
"C16","12p","C_0603_1608Metric",107.525000,-73.760000,0.000000,top
"C17","12p","C_0603_1608Metric",107.525000,-80.740000,180.000000,top
"D1","B5819W","D_SOD-123",143.475000,-94.000000,180.000000,top
"D2","Green","LED_0603_1608Metric",159.194000,-110.242000,180.000000,top
"D3","B5819W","D_SOD-123",143.000000,-121.000000,90.000000,top
"D4","BLUE","LED_0603_1608Metric",131.817500,-79.535000,0.000000,top
"F1","250mA","Fuse_1206_3216Metric",143.475000,-98.250000,0.000000,top
"FB1","600 @ 600MHz","L_0805_2012Metric",143.475000,-112.600000,180.000000,top
"J1","Power_Jack","BarrelJack_Horizontal",157.425000,-100.157500,180.000000,top
"J2","SWD","PinHeader_2x05_P2.54mm_Vertical",153.550000,-34.725000,-90.000000,top
"J3","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",104.220000,-124.000000,-90.000000,top
"J4","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",118.775000,-124.000000,-90.000000,top
"J5","USB_B_Micro","USB_Micro-B_Molex_47346-0001",168.675000,-76.650000,90.000000,top
"J6","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",76.475000,-67.575000,0.000000,top
"J7","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",112.645000,-35.820000,-90.000000,top
"J8","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",126.555000,-35.820000,-90.000000,top
"L1","10u","L_Sunlord_MWSA05xxS",136.000000,-121.000000,180.000000,top
"L2","39n","L_0402_1005Metric",110.235000,-83.210000,90.000000,top
"Q1","AO3401A","SOT-23",150.000000,-94.000000,90.000000,top
"R1","47k","R_0805_2012Metric",150.000000,-106.372500,0.000000,top
"R2","100k","R_0805_2012Metric",149.975000,-112.530000,0.000000,top
"R3","15k","R_0805_2012Metric",150.000000,-103.293750,180.000000,top
"R4","1k","R_0805_2012Metric",159.194000,-113.242000,0.000000,top
"R5","270","R_0805_2012Metric",150.000000,-100.215000,0.000000,top
"R6","68k","R_0805_2012Metric",150.000000,-109.451250,180.000000,top
"R7","1k5","R_0805_2012Metric",135.817500,-79.535000,180.000000,top
"R8","4k7","R_0805_2012Metric",122.025000,-48.000000,-90.000000,top
"R9","4k7","R_0805_2012Metric",118.925000,-48.000000,-90.000000,top
"R10","10k","R_0805_2012Metric",93.725000,-37.000000,-90.000000,top
"R11","4k7","R_0805_2012Metric",112.812500,-116.250000,0.000000,top
"R12","4k7","R_0805_2012Metric",117.137500,-116.250000,180.000000,top
"R13","47","R_0805_2012Metric",111.325000,-78.350000,180.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",94.475000,-31.200000,180.000000,top
"U1","MP2359DJ-LF-Z","TSOT-23-6",150.000000,-117.000000,90.000000,top
"U2","STM32F405RGT6","LQFP-64_10x10mm_P0.5mm",121.475000,-79.000000,270.000000,top
"U3","HDC1080","Texas_PWSON-N6",120.475000,-53.000000,0.000000,top
"U4","USBLC6-2SC6","SOT-23-6",154.475000,-77.000000,90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",107.525000,-77.250000,-90.000000,top
